
2023/05/31 (17:16:16) | ===> btop++ v.1.2.13
2023/05/31 (17:16:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/05/31 (18:02:54) | ===> btop++ v.1.2.13
2023/05/31 (18:02:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/05/31 (18:03:52) | ===> btop++ v.1.2.13
2023/05/31 (18:03:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/05 (19:36:44) | ===> btop++ v.1.2.13
2023/06/05 (19:36:44) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/05 (19:36:50) | ===> btop++ v.1.2.13
2023/06/05 (19:36:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/05 (20:01:36) | ===> btop++ v.1.2.13
2023/06/05 (20:01:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/07 (20:14:17) | ===> btop++ v.1.2.13
2023/06/07 (20:14:17) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/06/20 (15:22:36) | ===> btop++ v.1.2.13
2023/06/20 (15:22:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/07 (16:14:08) | ===> btop++ v.1.2.13
2023/07/07 (16:14:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
